layer,dialect,pc1_mean,pc2_mean,count,within_var
3,hin_Deva,-0.19679664786494908,0.10375708822644474,100,0.03888856525174282
3,spa_Latn,0.25211156792169226,0.09312537643821708,100,0.0460361061642672
3,swh_Latn,0.018360590822279806,-0.19606386827405398,100,0.048157763195641114
3,urd_Latn,-0.04460443870956448,-0.1544861498598011,100,0.04784399809400824
3,yor_Latn,-0.2106573345856758,-0.24271438423632638,100,0.045705418749255884
4,afr_Latn,0.16599838203802644,0.049607635197642545,100,0.04760634230343421
4,ben_Beng,-0.867412520004796,0.25595608656743457,100,0.020230359184657168
4,eng_Latn,0.6803881775952597,0.0989314717338882,100,0.044659923779253784
4,fra_Latn,0.2632259496614303,0.14286255534254588,100,0.045665294579294004
4,hin_Deva,-0.2004064872481605,0.18799249656165132,100,0.039394761394513915
4,spa_Latn,0.30607662028024596,0.1395718798328709,100,0.043802435873346084
4,swh_Latn,-0.013981317690997683,-0.3251325380429966,100,0.05077497076644239
4,urd_Latn,-0.06376327587628967,-0.13179842625165256,100,0.04921850285935451
4,yor_Latn,-0.2701255287547187,-0.4179911609413842,100,0.0503727600813193
5,afr_Latn,0.17898537959092253,0.0542245722563952,100,0.04714085437334079
5,ben_Beng,-0.9823390138148842,0.30792702827551705,100,0.023067129199878578
5,eng_Latn,0.7377680766737673,0.11808630305960706,100,0.04140877133450229
5,fra_Latn,0.30263855175921156,0.17220996251458998,100,0.04411372728362147
5,hin_Deva,-0.2233790924745341,0.223258160644187,100,0.04024295589374852
5,spa_Latn,0.34925462335276886,0.1690675901331385,100,0.041925807997401275
5,swh_Latn,-0.002461947638936089,-0.3113839133362502,100,0.05027895406949455
5,urd_Latn,-0.08345892842510841,-0.24078557993242555,100,0.05188298837037922
5,yor_Latn,-0.2770076490232073,-0.4926041236147591,100,0.052656951762471864
6,afr_Latn,0.21171735732915373,0.0759754577422462,100,0.04583223892796984
6,ben_Beng,-1.1036695129492091,0.37922226258157726,100,0.02620986250067653
6,eng_Latn,0.8002706900277152,0.1288653242268935,100,0.03776584300567352
6,fra_Latn,0.36774269139347493,0.1842337698547798,100,0.04115627444603368
6,hin_Deva,-0.24753551548413366,0.2905841457783572,100,0.04203049929392665
