layer,dialect,pc1_mean,pc2_mean,count,within_var
13,eng_Latn,1.0170544716319219,0.1651737660404509,100,0.042761423759747536
13,fra_Latn,0.5879831960622599,0.20408668979111522,100,0.05080427943867702
13,hin_Deva,-0.30299473678129446,0.3724281875008899,100,0.06599767790032746
13,spa_Latn,0.6213289972359318,0.18142644826021329,100,0.05180889494940883
13,swh_Latn,-0.009913170257423234,-0.2601906639597459,100,0.05857084409455668
13,urd_Latn,-0.3594949651462009,-0.37868787536192594,100,0.07465912059066843
13,yor_Latn,-0.5031872213890786,-0.9242648844013394,100,0.0743350354339105
14,afr_Latn,0.2959502972665376,0.06949436139377303,100,0.057192595650373185
14,ben_Beng,-1.3729626512310293,0.5791369687044756,100,0.054040762506900625
14,eng_Latn,0.9849401543549486,0.15388021115485684,100,0.045301825501604824
14,fra_Latn,0.5789560905371973,0.24586309985813237,100,0.0543194174951867
14,hin_Deva,-0.30869729908339116,0.3707213059830904,100,0.06633917183717628
14,spa_Latn,0.6030312734011019,0.21737381346266185,100,0.05434036746376199
14,swh_Latn,0.006552858442799537,-0.2196690190534703,100,0.0585879926491814
14,urd_Latn,-0.33922614517724264,-0.4404107332132665,100,0.07468372748349278
14,yor_Latn,-0.4485445785109217,-0.9763900082902535,100,0.07834389432511935
15,afr_Latn,0.36011547386754045,0.08562577062834364,100,0.04515823245040094
15,ben_Beng,-1.5273398049954687,0.6717926765659213,100,0.05035290479433551
15,eng_Latn,1.0434680108671326,0.19193055783978388,100,0.0361383354039434
15,fra_Latn,0.7140610894820505,0.2512116337919515,100,0.04193816558339709
15,hin_Deva,-0.42339924824198777,0.519190968972777,100,0.06167693025758039
15,spa_Latn,0.7590432539205578,0.22702079443098544,100,0.04262082768864846
15,swh_Latn,0.011359136978757218,-0.4179977524246164,100,0.05136583512243395
15,urd_Latn,-0.4497404065335637,-0.30555349403208676,100,0.06766114551443654
15,yor_Latn,-0.4875675053450197,-1.223221155773059,100,0.07828377116849713
16,afr_Latn,0.41983050504790276,0.09418439296087101,100,0.045199305607856254
16,ben_Beng,-1.6679437545088205,0.7287787199304391,100,0.05517756904387598
16,eng_Latn,1.1741839647300205,0.2168261830354945,100,0.03354703920539556
16,fra_Latn,0.7772855314180336,0.25505903083112685,100,0.04040003870097608
16,hin_Deva,-0.49355560168033025,0.5904860333237856,100,0.06703005650955438
16,spa_Latn,0.8174528043373502,0.23522061994819501,100,0.04241361459370148
16,swh_Latn,0.018046324521053866,-0.40560299065379973,100,0.05342424900769064
16,urd_Latn,-0.5334703415657043,-0.31165826331854346,100,0.0771868744450655
16,yor_Latn,-0.5118294322995054,-1.4032937260575686,100,0.09030837364079007
17,afr_Latn,0.5214989511855983,0.09126591258545906,100,0.053329885550825316
17,ben_Beng,-1.7909367889474115,1.0214517964119758,100,0.06637652687386586
