layer,pc1,pc2,dialect,correct_final
0,-0.0323213815190849,-0.010321599431977609,eng_Latn,1
0,-0.03357892259046874,-0.0113769715350431,eng_Latn,1
0,-0.03196301201924761,-0.011199324871168967,eng_Latn,0
0,-0.03431394494534162,-0.012056370537323316,eng_Latn,0
0,-0.03375374616454641,-0.010967182257385013,eng_Latn,0
0,-0.033553223984931234,-0.011443416405411655,eng_Latn,1
0,-0.0318193342137284,-0.01094745466170247,eng_Latn,1
0,-0.0346381801152502,-0.012651918144791328,eng_Latn,0
0,-0.031579604088788134,-0.011676953517171391,eng_Latn,1
0,-0.029467658926258924,-0.010613632652015956,eng_Latn,1
0,-0.024891241515866566,-0.005113352506496157,fra_Latn,0
0,-0.026104648784256203,-0.0056056838596670825,fra_Latn,1
0,-0.024095821759435292,-0.0057842634863291675,fra_Latn,0
0,-0.023082567722064136,-0.004438965913122035,fra_Latn,0
0,-0.025276608255827535,-0.007161240644277482,fra_Latn,1
0,-0.023987313547087125,-0.005380026916184314,fra_Latn,1
0,-0.025514985070743987,-0.005790244677536127,fra_Latn,1
0,-0.025385763429101402,-0.005468091253284817,fra_Latn,0
0,-0.025634233541312557,-0.004313922828857778,fra_Latn,0
0,-0.025814484994901084,-0.006519316537887115,fra_Latn,0
0,-0.02791090791085449,-0.007158617602196983,fra_Latn,0
0,-0.0240473581931123,-0.004875589369847159,fra_Latn,1
0,-0.022608730049914816,-0.0039008951842108013,fra_Latn,1
0,-0.025590403973848926,-0.004372786289710837,fra_Latn,0
0,-0.024554150021629622,-0.006313413991642092,fra_Latn,1
0,-0.02527027688324096,-0.006469687360105064,fra_Latn,0
0,-0.024282845382755918,-0.005969819682562345,fra_Latn,1
0,-0.023593816193621837,-0.006118773466326185,fra_Latn,1
0,-0.02194359234573453,-0.006565174926772554,fra_Latn,0
0,-0.022810918466665463,-0.0034555887356616474,fra_Latn,1
0,-0.027926668152389547,-0.008391735182290744,fra_Latn,1
0,-0.02542520715016681,-0.005560006350648937,fra_Latn,1
0,-0.022938821049092784,-0.006256183052794491,fra_Latn,1
0,-0.02668729437892432,-0.007276735525363706,fra_Latn,1
0,-0.02840786998235031,-0.007123964746106539,fra_Latn,1
0,-0.024769106891556016,-0.005718275513744176,fra_Latn,1
0,-0.024060524637841706,-0.005054636457855617,fra_Latn,0
0,-0.02406955939775866,-0.006592842494804524,fra_Latn,0
0,-0.025705624013305114,-0.007067015945816413,fra_Latn,0
0,-0.02583336473896447,-0.007845479904708021,fra_Latn,0
0,-0.026728894977587674,-0.007690942118508462,fra_Latn,0
0,-0.025036838770955725,-0.006076095094544333,fra_Latn,1
0,-0.025423442623947915,-0.005958511477320158,fra_Latn,0
0,-0.02424951880424902,-0.00537616272959389,fra_Latn,1
0,-0.023664983748054216,-0.0053324487551805605,fra_Latn,0
0,-0.02276270948618834,-0.006167588672994877,fra_Latn,1
0,-0.02540004310251387,-0.0068765914358867655,fra_Latn,1
0,-0.025495039570366352,-0.005725867809677295,fra_Latn,0
0,-0.02379670471290568,-0.00502759122060301,fra_Latn,1
0,-0.02410676661317236,-0.004052568907099769,fra_Latn,1
0,-0.026560770694517802,-0.006485060090845726,fra_Latn,1
0,-0.026345150328912346,-0.007701979020651195,fra_Latn,1
0,-0.023701407453259295,-0.005799711161377973,fra_Latn,1
0,-0.02614830111200738,-0.006612178482127726,fra_Latn,1
0,-0.024812177959106264,-0.006878633647348478,fra_Latn,1
0,-0.024859217160010674,-0.006707303181214641,fra_Latn,1
0,-0.025943778703462886,-0.005250201433618134,fra_Latn,0
0,-0.024654841409235607,-0.0069443517577978675,fra_Latn,0
0,-0.025250505584953353,-0.006432485852739494,fra_Latn,1
0,-0.026865481073826695,-0.00682208815553725,fra_Latn,0
0,-0.02715438712502383,-0.006805024442130127,fra_Latn,1
0,-0.024720664673989923,-0.0047059241583535605,fra_Latn,1
0,-0.026200746233174827,-0.006639905897713197,fra_Latn,0
0,-0.027309206018634135,-0.006971696934944226,fra_Latn,0
0,-0.02549630900049215,-0.006077744002699713,fra_Latn,0
0,-0.025009554403865725,-0.006614359471467519,fra_Latn,1
0,-0.024694003079958424,-0.005368471358095983,fra_Latn,0
0,-0.024863468656898764,-0.005141694389787294,fra_Latn,1
0,-0.02544399539757628,-0.005343182437101897,fra_Latn,0
0,-0.023136633694141318,-0.004970843597316888,fra_Latn,0
0,-0.02631851217213058,-0.004538108206485419,fra_Latn,1
0,-0.025556347229319917,-0.007137293374955104,fra_Latn,1
0,-0.027201404489351613,-0.005682694696447298,fra_Latn,0
0,-0.023110795041747373,-0.00468079899397025,fra_Latn,1
0,-0.025551519051143803,-0.004525843329842964,fra_Latn,1
0,-0.02420970323996145,-0.0047150832154244275,fra_Latn,0
0,-0.025819808750183276,-0.008468220226174616,fra_Latn,1
0,-0.025952877699428167,-0.0052353680532104,fra_Latn,0
0,-0.024632675243935236,-0.005290609885986887,fra_Latn,0
0,-0.024903755861936237,-0.007253168141420488,fra_Latn,1
0,-0.022800486753023336,-0.005438805303921158,fra_Latn,1
0,-0.023258150373014277,-0.005545753198601024,fra_Latn,1
